QC — discrepancy and open-items log,,,,

ID,Item,Detail / required action,Severity,Status
Q82,External review triage & fix pass (2026-07-19),"ChatGPT audit: 5 must-fix + QC items verified cell-by-cell and against live primaries (gov.uk BICS 15.04.2026: combination funding, detail at Budget 2026, IA Autumn 2026; worldsteel energy page May-2026 ranges; IEA cement page lacks kWh/t). All confirmed → fixes per D61/D62. NOT adopted: demoting composite to sensitivity-only (kept per D37, relabelled CENTRAL); CN annex migration into workbook (annex + S69 pointer retained). v40 evidence-extension tabs not migrated (file not provided). Independent-validation framing added to stage10 SecD (Q30 gates incl. UK FAILs).",Medium,RESOLVED 2026-07-19 (D61/D62)
Q83,CORRECTION — stage4_uk r52 observed-band transcription,"Very Large (70–150 GWh) column values sat under the ""QEP Large (20,000–69,999 MWh)"" label for all 16 years (v40 cross-review catch; confirmed cell-by-cell vs table_341.xlsx Dec-2025). Replaced with true Large at full precision; timeseries r79 and gate r93 recompute (gate remains FAIL with a LARGER wedge — strengthens the Q30 supply-margin exhibit). Dashboard medium overlay updated in the same pass.",High (resolved),RESOLVED 2026-07-19 (D63)
Q84,CN VAT basis vs house rule,"CN price series (catalogue/market/T&D; GN5) are 含税 as published (stage4_cn A1, cn_td A2, staging) while UK/DE series and house-rule footnotes are ex-VAT. Documented: basis flags added at every cross-country point; de-VAT divisor (17/16/13%, switch years month-weighted) + CN comparator memos stage6 r189–191 (2025: large 76.9 / medium 96.7 USD). Full de-VAT rebuild of signed CN series DECLINED by owner (D63). Publication text must state the basis wherever CN meets UK/DE.",Medium,DOCUMENTED 2026-07-19 (D63)
Q85,DE E2 privileged KWKG/Offshore umlagen,"No published privileged flat rate exists (KWKG 2017+, Offshore 2019+ — BesAR/EnFG company-specific; staging-documented); E2 keeps non-privileged rates (anti-fabrication). EnFG BesAR caps = 15% (list-1) / 25% (list-2) beyond the first GWh (S179). Sensitivity memos stage6 r192–193: 2023–25 with the 15% cap ≈ −€8.1–9.3/MWh (2025: large ≈111.0 / medium ≈156.1 USD). Verify §§28–31 statute text at publication.",Medium,"DOCUMENTED (memo added 2026-07-19, D63)"
Q86,Report draft v1 — clean-context adversarial QC (instructions §QC),"""Paying for Power"" DRAFT v1.0 (built 2026-07-19 from this workbook at D64/Q85/S179) verified by an independent no-drafting-context checker: 214 claims re-derived; verdict FAIL — 4 blockers (Barakah $66 not a workbook cell — dashboard nuclear panel still carries it, reconcile at next dashboard pass; DE flat-glass claim spanned the Q35 gap; CN system-fee coal-share misread of sources F111; harmonised capital span quoted on native-WACC basis) + 10 minor + 2 unverifiable world-claims. ALL 16 corrected in v1.1 and re-verified against cells; unverifiable claims replaced with workbook-internal equivalents. Log: report_v1_adversarial_qc_log.md. Standing rule stands: fresh-session QC gate re-runs on the final submitted text; the report does not ship on a fail.",High,v1.1 CORRECTED 2026-07-20 (pre-publication gate OPEN)
Q87,Composite headline re-based to product weights (D65) — report relabel pending,"stage5_output section K added (product-weighted headline + geometric variant + band, formulas off section-F tonnage rows 80-91, COUNT-gated blanks); section I relabelled VARIANT. Report v1.1 ch.5 and exec-summary composite figures (47.2/82.5/170.9, 2024) now cite the VARIANT — relabel to product-weighted headline (56.4/78.6/173.7) at the v1.2 final-text pass before publication (same pass as the Q86 gate re-run). Dashboard tab 5 updated to the new headline 2026-07-24 (electricity-weighted kept as a toggle variant).",Medium,OPEN — report ch.5 relabel pending (v1.2 final-text pass)
Q88,"Independent supply-margin estimate (Ofgem CSS panel) — wedge decomposition, bracket test, D66 bucket-(iv) relabel","Ofgem Consolidated Segmental Statements panel 2012–2024 (8 supplier groups, 73 nondom-electricity segment rows; NO aggregated Ofgem dataset exists): EBIT ≈£1–2/MWh pre-crisis (1–2% of revenue), −£1–3 in 2020–21, £4–8 (1.8–2.9%) 2022–24; retail opex (EDF+Centrica+SSE indirect costs) ≈£5–6 pre-crisis, £10–13 crisis (bad debt). The wedge (Q30/D66 iv) is NOT mainly margin: 2024 nominal wedge £19.2 = £6.2 opex + £7.2 EBIT + £5.8 residual. Bracket test (excl-CCL both sides): netted observed ABOVE E1 in stable years (+£10–20 pre-relief 2012–16 = band-mix premium; +£5.8 in 2024), BELOW E2 in 2021/2023 (−£19/−£109) — crisis sign-flips confirmed as hedge-vintage in suppliers' direct-fuel line (panel EBIT stayed small/positive). Illustrative exempt-volume share of XL band 2024 ≈15%. ENTERED THIS SESSION: stage4_uk r55–59 overlay (EBIT £/MWh, EBIT %, opex £/MWh, panel TWh); stage6 SECTION R bucket (iv) relabelled ""supply wedge""; dashboard tab 3 relabel + CSS footnote + two-way wedge split (UK 2012–24: CSS-measured supply cost+margin [solid accent colour] vs hedging+band-mix residual [hatched]; DE unsplit — no CSS equivalent; 2010–11/2025 unsplit — no CSS data). Staging: css_margin_bracket_staging.md + css_nondom_margin_panel.csv (project folder; S180/S181). ALSO LOGGED: original D66 workbook edit found REVERTED by an open-Excel save (dashboard already recut, workbook pre-D66) — SECTION R re-applied this session, recon re-verified; Excel-open-during-commit is a standing hazard. || 2026-07-24 D67 ADDENDUM: DE wedge re-based to obs − E2 central (population-matched; was obs − E1, negative ≈ margin − embedded BesAR-era relief); UK unchanged (obs − E1). Dashboard re-cut same day. || 2026-07-24 D68: wedge made PER-CASE (obs − displayed stack; every view additive); CSS split shown in UK E1 view only; D67 population-matching retained as interpretation guide.",Medium,OPEN — report relabel + CSS numbers at v1.2 pass; re-run ~Q4 2026 (2025 CSS filings; Centrica 2024 if published)
Q89,"Independent DE supply-side opex+margin estimate (BNetzA MB2025 ""Vertrieb und Marge"") — UK CSS symmetry and D68 wedge constraint","BNetzA/BKartA Monitoringbericht 2025 (pub. 26.11.2025) is the FIRST edition to split the supply block for non-household cases — MB2023/MB2024 published only a bundled ""vom Lieferanten beeinflussbarer Preisbestandteil (Restbetrag)"". This supersedes the standing project note that Germany reports procurement and margin as one block. MEASURED (stage4_de r48-54): Industriekunde 24 GWh/a 2025 ""Vertrieb und Marge"" 1.77 ct/kWh = EUR 17.7/MWh (P10-P90 0.00-5.62, 127 suppliers); Gewerbe 50 MWh/a 3.03; household band DC 4.45 (by contract category: Ersatzversorgung 7.91 / Grundversorgung 6.72 / non-incumbent 3.57 — German retail margin sits in incumbent default tariffs); E.ON Energy Retail Germany column adj. EBITDA EUR 6.5/MWh (FY24) and 7.5 (FY25); Fraunhofer ISI in-band (70-150 GWh, 2013) implied mark-up = 0. ADOPTED BRACKET for the XL archetype (r57-62): USD 0.0 floor / 8.5 central / 20.0 ceiling, nominal 2025 USD at D1 FX 1.1306. CONSEQUENCES. (1) UK-DE symmetry: UK CSS 2024 non-dom = USD 8.1 opex + 9.4 EBIT = 17.5/MWh (Q88) vs DE ceiling 20.0 / central 8.5 — supplier opex+margin is NOT a material UK-DE differentiator. A null result in the same family as the relieved-EII network-charge convergence; report ch.2 should say so in a sentence rather than imply a supply-margin gap. (2) D68 wedge constraint: the DE large E1 2025 wedge of -6.31 cannot accommodate any positive supplier margin, confirming E1 is a relieved-band construct not a headline; DE E2 +41.74 is therefore dominated by relief-spectrum position, not margin. Both readings are consistent with D68 as written — no decision reopened. (3) The pre-2025 bundled residual (r52) nets to approx +0.7 EUR/MWh in 2020 but -10 in 2024 and strongly negative in 2023: hedge vintage, identical pathology to the D68 crisis sign-flips, and independent corroboration of that reading. ROUTES REJECTED (documented so they are not re-attempted): Eurostat SBS / Destatis NACE 35.14 — turnover embeds wholesale churn (DE 2023 EUR 475bn over ~465 TWh implies ~EUR 1,020/MWh, ~3x physical value), the class explicitly includes brokers and power exchanges, purchases-for-resale is [C] confidential 2021-23, GOS is EBITDA-like not CSS-comparable EBIT, population break at 2021, and NACE Rev. 2.1 renumbers trade-of-electricity 35.14 to 35.15 while 35.14 becomes DISTRIBUTION (splicing trap). ACER/CEER mark-up — household-only, the single non-household German figure is Eurostat band IB (~125 MWh), and the indicator was discontinued after the 2023 MMR. BDEW industrial series — bundles NETWORK CHARGES into the supply block, strictly worse than BNetzA here. VEA Strompreisvergleich — states in writing that a market-standard supplier margin is embedded, never quantifies it, and covers only medium-voltage cases far below 70 GWh. Bundesanzeiger/Unternehmensregister Vertriebsgesellschaft panel — feasible (~60-120 usable entities of ~1,300; EBIT reconstructible above the Gewinnabführung line per HGB §277(3) S.2) but DEFERRED: §276 HGB lets small AND medium companies collapse revenue and material cost into ""Rohergebnis"", volumes appear in roughly half of large Lageberichte only, missingness is size-correlated (upward margin bias), and group transfer pricing sets Materialaufwand with no visible arm's-length constraint. NEGATIVE CONFIRMED (S187): no German or EU instrument requires CSS-style supply-margin disclosure — EnWG §6b Abs.3 S.1 lists seven activities and Vertrieb is not among them, and Dir. 2009/72 Art. 31(3), the only EU provision that ever mandated separate supply accounts, was dropped from Dir. (EU) 2019/944. Monopolkommission 9. and 10. Sektorgutachten Energie contain no quantitative electricity retail margin.",Medium,"OPEN — report ch.2 sentence + bracket at v1.2 pass; re-run on MB2026 (~Nov/Dec 2026, second industry-split year — pairs with the Q88 re-run) || ADDENDUM 2026-07-24: series extended to FY2021 (stage4_de r66–r70, S188) and DRAWN in the article (paying_for_power_article.html figs 3/4/6, DATA.deWedge) per owner decision — margin segment on BOTH DE cases, pre-2021 imputed at the 2024–25 average $7.877. CONCEPT ASYMMETRY r71 must stay in every caption: DE segment is margin-only, UK segment is opex+EBIT. Article prose corrected in 7 places where it asserted no German split exists. || ADDENDUM 2 (same day, owner): DRAWN SERIES SWITCHED from the E.ON margin-only series to the BNetzA ""Vertrieb und Marge"" observation held constant in real terms (stage4_de r72–r75) — resolves the concept mismatch, since ""Vertrieb und Marge"" is selling cost + margin, the same construct as the UK CSS overlay. E.ON retained as the profit-only cross-check in the article data tables. Live caveats now: single observation (no shape), and band — near-direct read on the MEDIUM archetype (24 vs 20 GWh/a), CEILING on LARGE."
Q90,"DE BesAR regime mis-dated: EEG 2012 tranche ladder applied from 2012, but it first binds benefit year 2013 — 2010–12 is the EEG 2009 Selbstbehalt regime","TRIGGER: the DE MEDIUM E2 stack was blank in 2011 while LARGE E2 produced a 2011 value — spotted by the owner in the article figs. ROOT CAUSE (two independent research passes, primary statute verified verbatim by both): the workbook modelled the German BesAR from 2012 using the EEG 2012 tranche ladder, and had no BesAR treatment at all before that. Both are wrong. (1) REGIME DATING. The EEG 2012 §41(3) ladder (≤1 GWh full / 1–10 GWh 10% / 10–100 GWh 1% / >100 GWh 0.05 ct) FIRST APPLIES TO BENEFIT YEAR 2013, not 2012: §43(1) makes applications due 30 June effective 1 January of the FOLLOWING year, and §66(13) EEG 2012 applies §41 to applications made IN 2012. Benefit year 2012 rests on applications filed 30.06.2011, decided 16.12.2011 under EEG 2009. Empirical confirmation: privileged undertakings 734 (2012) → 1,691 (2013), Abnahmestellen 979 → 2,262, when the 1 GWh threshold bit. (2) THE 2010–2012 REGIME. EEG 2009 §§40–44 (Stammfassung, unamended to 31.12.2011) + §6 Abs.1 Nr.1 AusglMechV: NO tranches. A flat 0.05 ct/kWh on the privileged volume, plus a 10% SELBSTBEHALT charged at the full Umlage, disapplied only where the site clears BOTH ≥100 GWh AND ≥20% Stromkosten/Bruttowertschöpfung (§41(3) S.1 — ""oder"", so failing either limb keeps the Selbstbehalt). Eligibility >10 GWh and >15% BWS plus certification. Effective rate is therefore SCALE-INVARIANT for every teilbegünstigt site: 0.1×U + 0.9×0.05 ct. FIXES APPLIED: timeseries r62 (medium E2 EEG) 2010/2011/2012 = 2.497 / 3.980 / 4.042 €/MWh — 2012 CORRECTED from 3.592 (the old 10%×U dropped the 0.05 ct floor on the remaining 90%, understating by 0.45 €/MWh); r45 (large E2 EEG) 2010/2011 = 0.5 €/MWh, the vollbegünstigt archetype being >=100 GWh and assumed >=20% BWS, unchanged from 2012+; r46 band HIGH 2010/2011 = the teilbegünstigt outcome; r64 (medium E2 total) 2010/2011 formulas added. ALSO FIXED — LATENT BLANK-AS-ZERO: r51 (large E2 total) gated only on wholesale and network and added the EEG term as a bare ""+E45"", so 2011 silently priced the privileged EEG at ZERO and still printed a number ($130.74 real) while the medium panel blanked on the same missing input. Gate hardened to require ISNUMBER of the EEG term. Large E2 2011 moves 65.57 → 66.07 €/MWh nominal. NOT CHANGED, and must not be: r62 for 2013 = 0.1×U looks like the old error but is EXACTLY right — at precisely 20 GWh the EEG 2012 ladder collapses to 10% of the Umlage, (1×U + 9×0.1U + 10×0.01U)/20 = 2U/20. 2014+ EEG 2014/2017/2021 §64 15% structure unchanged. STILL BLANK: DE 2010 in every view — a WHOLESALE gap, not a levy gap. The DE wholesale input is the EEX Phelix year-ahead price by TRADING year with delivery Y+1, so delivery-2010 needs trading-year 2009, which the BNetzA Monitoringbericht series does not cover. The EEG rows are now filled for 2010 so the stack completes automatically if that gap is ever closed (would need an older MB or an EEX historical series). CROSS-CHECK: the ÜNB testierte EEG-Jahresabrechnung 2011 reconciles to the cent at 377.087 TWh × 3.530 ct + 85.118 TWh × 0.050 ct = €13,353,740,622.46 = published Soll-Einnahmen (S190). Note the Selbstbehalt is booked in the NON-privileged column there, so the published 0.050 ct/kWh is the rate on the privileged slice, NOT the site-level average — the site-level average for a teilbegünstigt site is 0.398 ct/kWh in 2011.",Medium,"RESOLVED 2026-07-24 — 2011 filled for both archetypes, 2012 corrected, large E2 blank-as-zero gate hardened; article DATA re-spliced. DE 2010 remains blank on the separate wholesale gap."
Q91,EII eligibility definitions UK vs DE — and whether an eligibility-based output index is buildable,"Established while checking whether an output index could be built on the relief-eligibility lists (owner question 2026-07-24 about which index matches which archetype). UK: 71 four-digit NACE classes (SI 2015/721 Schedule) PLUS a hard firm-level test — electricity cost impact >= 20% of gross value added over three years (reg 8). GERMANY: 116 four-digit WZ classes (EnFG Anlage 2 = CEEAG Annex 1 verbatim) and NO intensity test at all — §30 requires only >1 GWh at the Abnahmestelle, an energy management system, and an efficiency/decarbonisation condition. The BesAR 14%/20% thresholds were abolished in the move to CEEAG. CONSEQUENCE FOR D67/D68: German eligibility is far easier to clear than British, so the German relieved population is much more fully populated within its sectors. This is INDEPENDENT CORROBORATION, from statute rather than from price data, of the population-matching reading — DE Eurostat band relief-dominated (implied relieved share 50-80% in the BesAR era) versus UK QEP band unrelieved-dominated (exempt ~15%). Two register corrections: the UK eligible-sector list lives in SI 2015/721, not SI 2024/409 (which only cross-refers); and Germany has no electricity-intensity test under EnFG. ALSO ESTABLISHED — an eligibility-based output index is NOT constructible symmetrically. ONS publishes the Index of Production at 3-digit at finest (96 industry labels, ZERO 4-digit CVM series) and five UK-eligible codes sit inside divisions 25-28 with no usable proxy; the one clean match is chemicals, where ONS 20A+20B is exactly the seven eligible division-20 classes. Germany is fully matchable (GENESIS 42153-0003, 195 four-digit series, 116/116 EnFG codes resolve). So the middle-tier output exhibit must remain the DIVISION-level energy-intensity definition (17/19/20/23/24) — which is what stage5 sections H/J already build and what Destatis itself publishes as ""Energieintensive Industriezweige"" (S196). Note that aggregate is an ENERGY-INTENSITY selection that deliberately excludes food, and is therefore NOT the relief list — two different populations; captions must say which is shown.",Medium,RESOLVED as a finding — no model change. Feeds the D69 exhibit structure and corroborates D67/D68. Sources S194/S195/S196.
Q92,UK observed sits above even the UNRELIEVED stack — losses now modelled (D70) but close only 1.6%/4.0% of it; residual corrected UPWARD to ~GBP 34 large / ~GBP 54 medium; QEP-basis hypothesis untested,"OWNER CHALLENGE 2026-07-24: ""there was a massive gap for the unrelieved too"". Correct, and it materially weakens the relief-take-up explanation. 2025 real-2025 USD/MWh, supplier block included on both sides: UK LARGE observed 276.1 vs unrelieved-plus-supplier 221.0 = +55.1 ABOVE E1; UK MEDIUM observed 314.6 vs 227.4 = +87.2. DE is the mirror image and has NO residual: large observed 163.2 sits 26.3 BELOW its unrelieved stack, medium only +8.4 above. So of the UK large gap to the relieved case (133.9), only 78.9 (59%) is relief the average band member does not hold; 55.1 (41%) sits above even a no-relief modelled bill. At medium size the residual is the LARGER half (87.2 of 169.9). Q30 SUPERSEDED: it attributed this residual to ""supply cost + margin, excluded by design"". Q88 has since MEASURED that block at USD 14.3/MWh (2025), which covers about a quarter of the large residual and a sixth of the medium one. Q30 no longer closes the gap and its resolution is stale. LOAD FACTOR IS RULED OUT ARITHMETICALLY (owner point: the medium archetype is already only 5,000 h and the gap is still large). Post-TCR the UK residual is a per-SITE-per-day charge, so it scales with volume, not with peak: the only genuinely load-factor-sensitive term in the whole UK build is DUoS capacity at GBP 2.45/MWh (medium, 2025). The workbook sensitivity confirms it — UK large E1 at 6,500 h is 156.68407221207, IDENTICAL to the 8,000 h headline. Even an implausibly poor load factor moves the medium bill a couple of GBP/MWh against a GBP 66.1/MWh residual. The ""modelled prices are a frontier"" defence therefore cannot rest on load factor. TWO REAL MISSING COMPONENTS FOUND. (1) FiT 2025/26 is unpublished and excluded — timeseries r16 already flags it at ~GBP 7/MWh. (2) LINE LOSSES ARE NOT MODELLED ANYWHERE IN THE UK OR GERMAN BUILD — a search for any loss term across assumptions/stage4_uk/timeseries/qc/decisions returns only the Chinese line-loss rows (Q49). Suppliers pass distribution and transmission losses through, so a HV-connected site pays for roughly 5-6% more energy than it meters and a transmission-connected site 1-2%; at the 2025 wholesale of GBP 79.7/MWh that is ~GBP 4.8/MWh medium and ~GBP 1.2-1.6 large. RESIDUAL AFTER THOSE: medium GBP 66.1 gap less margin 10.9, FiT ~7, losses ~4.8, load factor ~2 leaves ~GBP 41/MWh (~USD 54) unexplained; large leaves ~GBP 20 (~USD 26). REMAINING HYPOTHESES, none tested: (a) the QEP series is total spend divided by consumption and therefore includes reactive-power and excess-capacity penalties, metering and data-collection charges, and contract-specific adders that a published-tariff build cannot contain by construction — i.e. part of the residual is definitional, not error; (b) contract-level shape, imbalance and credit premia above the CSS book average; (c) the QEP Large band (20-70 GWh) average is composed of firms LARGER than the 20 GWh archetype, which should push the band average DOWN per MWh and therefore makes the medium residual harder to explain, not easier; (d) an understated obligation rate (RO 33.06, CfD 8.99, CM 3.30 GBP/MWh 2025 — not re-verified this pass). ACTION: no confident causal sentence about the British observed-versus-modelled gap goes into the article until (a) is tested against the QEP methodology note and losses are either modelled or documented as a deliberate exclusion. Losses are the cheapest fix and should be done first. Q30 to be re-worded when this closes.  ||  LOSSES NOW MODELLED 2026-07-24 (D70) — AND THEY ARE SMALLER THAN THIS ENTRY ESTIMATED. The estimate above (~GBP 4.8/MWh medium, ~GBP 1.2-1.6 large) was reasoned from the ~5-6% system-wide distribution loss figure. That is the wrong number for an HV-connected industrial site: the applicable Line Loss Factor for HV in the reference DNO area is 1.024, not ~1.06, because HV sites sit above the LV network where most distribution losses occur. Sourced build (assumptions r78-80, timeseries r107-110, S197): TLM 1.008 (Elexon BSC Section T, zonal TLF + TLMO- since P350) applied to every archetype; LLF 1.000 large (CVA transmission-connected, no distribution network) and 1.024 medium (HV). Gross-up applied to wholesale + BSUoS + CfD + CM only; RO, FiT, DUoS and TNUoS are levied on metered volume and are correctly excluded. Germany takes NO equivalent term: Verlustenergie is procured by the network operator under EnWG §22 and recovered inside the Netzentgelt under StromNEV §10, so it is already inside the published tariff and adding it would double-count. ACTUAL 2025 UPLIFTS (nominal GBP/MWh): large E1 0.842, large E2 0.638, medium E1 2.961, medium E2 2.566. Losses therefore close 1.6% of the large gap and 4.0% of the medium one — real, correct to have, but not an explanation. || ARITHMETIC CORRECTION TO THIS ENTRY. The residual line above (""leaves ~GBP 41 medium / ~GBP 20 large"") DEDUCTED THE SUPPLIER BLOCK TWICE: it started from the gap to E1-PLUS-SUPPLIER (87.2 / 55.1 USD) and then subtracted the supplier block (GBP 10.9) again. Corrected ledger, 2025, real-2025 USD/MWh, starting from the statutory E1 stack (supplier block excluded by construction) and now INCLUSIVE of losses: LARGE — observed 276.06 less modelled E1 207.81 = gross gap 68.25 (GBP 51.74); identified = supplier opex+margin 14.30 (Q88 CSS) + FiT 2025/26 unpublished ~9.2 + load factor ~0 (ruled out) = 23.5; RESIDUAL 44.7 USD (GBP 33.9). MEDIUM — observed 314.60 less modelled E1 217.03 = gross gap 97.57 (GBP 73.96); identified = supplier 14.30 + FiT ~9.2 + load factor ~2.6 (whole DUoS capacity charge, an upper bound) = 26.1; RESIDUAL 71.4 USD (GBP 54.1). So the unexplained residual is LARGER than this entry previously recorded, not smaller — GBP 34 large and GBP 54 medium — for two reasons: the double-deduction, and losses landing at roughly half the estimate. The gating action is UNCHANGED and now more binding: hypothesis (a) — that QEP is total spend divided by consumption and therefore definitionally broader than any published-tariff build — is the only remaining candidate large enough to matter, and it is still UNTESTED against the QEP methodology note. No causal sentence about the British observed-versus-modelled gap goes into the article until it is.",High,"OPEN — losses CLOSED (modelled, D70/S197). FiT 2025/26 still a known exclusion. ~GBP 34 (large) / ~GBP 54 (medium) per MWh unexplained; residual REVISED UP after removing a double-deduction. SUPERSEDED IN PART BY Q93 (2026-07-25): procurement vintage accounts for 28.9 (large) and 60.0 (medium) GBP/MWh of the 2025 gap, and the 2021/2023 negative years rule out a purely definitional QEP-breadth story. The QEP methodology note is still worth reading but is no longer the leading candidate. Blocks any causal claim about the UK gap in the article. || 2026-07-26: methodology note READ (S204) — QEP price = value/volume over ALL contracts in force (PT survey, ~60% electricity coverage, 100% response). The breadth/definitional candidate is further demoted; the note contains no contract-vintage discussion, so the Q93 attribution stands as the leading explanation. Real exempt share now MEASURED under Q97 (14.5% of industrial consumption 2024-25)."
Q93,PROCUREMENT VINTAGE largely explains the 2024-25 UK observed-vs-modelled gap — and the sign flips in 2021/2023 rule out a purely definitional (QEP-basis) explanation. Demotes the Q92 gate.,"OWNER HYPOTHESIS 2026-07-25: ""the difference between observed and modelled for UK in 2024 and 2025 is massive. I wonder if this is because industry got locked into very expensive contracts in 2023 ... the other being low uptake of exemptions."" TESTED, and largely supported — with one date correction and one identification caveat. METHOD: back out the wholesale price IMPLIED by the observed bill = QEP (excl CCL) less every non-wholesale modelled component less the measured supply block, then compare it with the price the model assumes and with the forward curve (timeseries r113-118, diagnostic rows only — nothing downstream reads them). RESULT 1 — THE PLATEAU. UK LARGE implied wholesale: 2022 125.5 | 2023 130.3 | 2024 132.1 | 2025 132.4 GBP/MWh. Flat to within 7 GBP across four years while DAY-AHEAD went 211.8 -> 97.3 -> 75.7 -> 83.9 and the modelled front-year went 89.5 -> 273.7 -> 127.5 -> 79.7. UK MEDIUM plateaus higher: 166.5 / 165.2 / 154.6 for 2023-25. A four-year flat spot in a violently moving market is the smoothing signature of a laddered or multi-year-fixed book, not of a mis-specified stack. RESULT 2 — THE SIGN FLIPS ARE THE REAL EVIDENCE. Gap to E1 (excl CCL, nominal GBP/MWh), large: 2021 -46.6, 2022 +51.1, 2023 -122.2, 2024 +18.0, 2025 +59.5. A hedge protects on the way up and penalises on the way down, which is exactly this pattern. NOTHING DEFINITIONAL PRODUCES A -122 YEAR. This materially DEMOTES Q92 hypothesis (a) — that QEP is total spend per MWh and therefore structurally broader than a published-tariff build. Breadth of that kind is a level effect and would have to be positive in every year; it is not. Q92's gate should be re-scoped accordingly: still worth reading the QEP methodology note, but it is no longer the leading candidate. RESULT 3 — GERMANY IS A CLEAN CONTROL. DE LARGE implied wholesale: 2022 97.2 | 2023 107.8 | 2024 78.8 | 2025 65.4 EUR/MWh — it UNWINDS, and by 2025 sits BELOW the modelled front-year (88.7). Britain's sits 66% ABOVE its own (132.4 vs 79.7). Same crisis, same broad forward curves, opposite persistence. (DE levels are not comparable in absolute terms — the DE E1 stack is a relieved-band construct with a negative wedge, per D68 — but the SHAPE is.) DECOMPOSITION 2025, nominal GBP/MWh excl CCL, against the UNRELIEVED stack. LARGE: gap 59.5 = supply block + FiT (2025/26 unpublished) 7.0 + calm-year profile/shape/imbalance baseline 10.3 + PROCUREMENT VINTAGE ~29-33. MEDIUM: gap 81.7 = supply block + 7.0 + baseline 1.4 + PROCUREMENT VINTAGE ~60-64. THE RANGE IS THE 2025 SUPPLY-BLOCK IMPUTATION, which is not a measured number in 2025: holding the 2024 CSS reading (13.3) gives the low end, the 2012-24 nominal mean (9.0, the convention in diagnostic row r113) the high end, the article's real-terms period average (10.85) the middle. Quote ~30 (large) and ~62 (medium) and say it is bracketed, not measured. 2024 LARGE: gap only 18.0 and procurement vintage is -5.7, i.e. ESSENTIALLY CLOSED — because the model's own front-year price for delivery 2024 (127.45, struck in 2023) already sat near what industry actually paid. 2024 MEDIUM: gap 51.1, vintage +36.4. So the 'massive 2024 gap' is a MEDIUM-archetype phenomenon; at large size 2024 is unremarkable and only 2025 is extreme. OWNER DATE CORRECTION: the expensive lock-in year was 2022, not 2023. Front-year prices averaged 273.71 GBP/MWh through 2022 (for 2023 delivery) against 127.45 through 2023. Contracts SIGNED IN 2022 covering 2023-25 delivery are the costly ones. ON THE SECOND MECHANISM: relief take-up is real but acts on a DIFFERENT part of the gap. By construction it cannot explain anything above E1 — E1 already assumes no relief. It explains the E1-to-E2 span (79 USD/MWh large in 2025), i.e. about 59% of the total observed-to-relieved gap. Both of the owner's mechanisms are live; they are not competing. IDENTIFICATION CAVEAT — STATE THIS WHENEVER THE NUMBER IS USED: 'procurement vintage' is a LABELLED RESIDUAL, not a measurement. Any unmodelled cost that grew after 2022 lands in the same bucket. What licenses the label is the plateau, the sign flips and the German control, not the arithmetic itself. FALSIFIABLE PREDICTION (the honest test): a hedge legacy MUST unwind. The modelled 2026 wholesale is 81.21 GBP/MWh. If the 2026 and 2027 QEP prints fall toward it, this is confirmed; if the implied series plateaus at ~130 for a fifth and sixth year, it is NOT hedging and something structural is being missed. Diarise against the QEP quarterly releases. || UPDATE 2026-07-26 (S204): (a) METHODOLOGY CONFIRMED — the DESNZ industrial-price methodology note states the QEP band price is total value / total volume across ALL sales the surveyed suppliers make in the quarter (PT survey, 6 electricity suppliers, ~60% coverage, bands per EU 2016/1952): an average over every contract in force, NOT new contracts — exactly the averaging a vintage story requires. (b) FIRST OUT-OF-SAMPLE PRINT — QEP June-2026 (Q1-2026, provisional): XL 20.973 p/kWh, Large 23.366. Q1-on-Q1 implied wholesale (each year's annual components): LARGE 143.5 (Q1-25) -> 121.9 (Q1-26) GBP/MWh, -15%; MEDIUM 168.3 -> 139.3, -17%; front-year flat 79.7 -> 81.2. Excess over front-year: large 63.8 -> 40.7 (-36%), medium 88.6 -> 58.1 (-34%). FIRST decline since the plateau began — direction and pace consistent with 2022-vintage contracts rolling off. NOT yet confirmation: full-year 2026/2027 prints must continue toward 81.21; Q1 figures are provisional (finalised +3 months). Exhibit: out-of-sample panel added to procurement_vintage.html.",High,"SUPPORTED, first out-of-sample print PASSED (2026-07-26): Q1-2026 implied fell 15-17% y/y while front-year was flat; methodology note confirms all-contracts averaging. Remaining: full-year 2026/2027 QEP prints (diarise each quarterly release, next ~Sep-2026 incl Q1 finalisation); owner decision on article integration of the updated exhibit."
