"ALL-IN PRICE TIME SERIES — stage 4 build (2026-07-15). Both archetypes × E1/E2 × 3 countries, 2010–2026 (D19). Formula-driven from stage4_uk / stage4_de / stage4_cn / cn_td / assumptions. Nominal local currency per MWh; real 2025 USD/MWh block below (no 2026 conversion, D6). E1/E2 are MODELLED, not observed. Build-up EXCLUDES supply cost & margin (function 6) — noted at the validation gate. Blank cell = source gap (anti-fabrication) — see completeness rows.",,,,,,,,,,,,,,,,,,,,
"Structural breaks to mark on every chart — UK: CfD-ILR 2016 · EII exemptions 2018 → 100% 04/2024 · TCR DUoS 04/2022, TNUoS bands + BSUoS reform 04/2023 · NCC 04/2025 (backdated 04/2024), 90% 04/2026 · wholesale = day-ahead PROXY pre-2022 (D22). DE: §19 floors 2014 (2011–13 exemption era not modelled — gap) · Offshore/SPK 2013 · BesAR-2014 redesign · KWKG/Offshore privileged rates company-specific 2017/2019 (E2=E1, D25) · DE-AT split 10/2018 · EEG→0 07/2022, budget 2023 · ÜNB harmonisation 2023 · €6.5bn subsidy 2026 (incidence iii). CN: renormalised basket, coverage row shown (D23) · 2021-10 catalogue end (2021 = Jan–Sep basis) · 代理购电 12/2021 · 526号 06/2023 · 容量电价 2024 · 136号文 06/2025 · 1077号 08/2026 (month-weighted, D13-R). CN E1=E2 (no formal exemption regime — functional equivalents owned in text).",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ctry,Series / component,Case,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Method / source note
DE,DE OBSERVED Eurostat IF — real 2025 USD/MWh,USD,168.965491623665,200.682867558071,166.96930339042,186.75335663674,189.508909604285,147.025685059046,124.235897182332,147.834723059236,135.748616572855,130.814105859648,151.087162876964,175.411113448721,203.952493862056,194.636891290277,156.798409989512,163.20211,,
DE,DE OBSERVED Eurostat IG — real 2025 USD/MWh,USD,,,,,,,,,,,97.6495707462202,154.117216263239,220.407751889563,178.064754333677,144.472189374189,149.52185,,
DE,DE OBSERVED Eurostat ID — real 2025 USD/MWh,USD,200.781125909698,225.307143905237,208.621473026691,234.107033307284,244.300130606287,197.139514154006,189.138571502331,188.3556863074,186.654347787676,188.256722387457,215.950322515079,220.880260244123,224.637448495225,232.695660990607,227.257752155479,217.86662,,
CN,CN LARGE (E1=E2) — real 2025 USD/MWh (incl VAT as published — Q84),USD,,,144.866233721742,146.525558827849,143.854311431501,139.02585575917,128.850631485133,120.80601338151,118.743628504298,111.189772065784,104.831088051627,105.613041514276,109.914624246978,103.451701952911,95.3654263037547,86.8522533704969,,
CN,CN MEDIUM (E1=E2) — real 2025 USD/MWh (incl VAT as published — Q84),USD,,,163.232671847102,165.102369592216,162.092455974195,156.892411275943,145.408347833698,136.738014179074,134.643655248655,126.13065015531,118.921398845253,122.692957381431,123.151718749235,115.653415296873,111.996203146227,109.282969043478,,
"VALIDATION GATE (house rule 3): observed band average must fall between E2 and E1. Run in nominal local currency; UK compared EXCL CCL (QEP 3.4.1 basis). Build-up excludes supply margin → observed near/above E1 flags margin+gaps, not archetype failure — investigate, never tune (results → qc).",,,,,,,,,,,,,,,,,,,,
UK,"GATE UK large: QEP XL (incl CCL) ∈ [E2, E1] — one basis under D71",gate,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,,
UK,"GATE UK medium: QEP Large (incl CCL) ∈ [E2, E1] (2017+) — one basis under D71",gate,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,,
DE,"GATE DE large: Eurostat IF ∈ [E2 central, E1]",gate,n/a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,,
DE,"GATE DE medium: Eurostat ID ∈ [E2, E1]",gate,n/a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,PASS,FAIL,,
"SENSITIVITIES (mandatory) — large archetype. (1) Load factor at assumptions!B56 = 6,500h: below the German 7,000h §19 threshold → DE E2 network = FULL tariff (the threshold is the exhibit). (2) Hedging: day-ahead-indexed vs rolling year-ahead. CN market annual averages have no hedging analogue (noted).",,,,,,,,,,,,,,,,,,,,
UK,"UK LARGE E1 @6,500h (triad-era TNUoS re-scaled; TCR residual per-site unchanged)",sens,58.1604138461538,63.4256345846154,64.0365873846154,73.3863738153846,68.6596493538461,71.7752187384616,78.4104562461539,87.3812484615385,106.5641656,100.991513907692,98.4290795384615,190.570091969231,149.414665723077,346.75524739921,206.74714969859,157.52572221207,168.07318237786,TCR-era: fixed per-site residual → per-MWh unchanged at constant consumption (say so in ch.3).
DE,"DE LARGE E1 @6,500h",sens,,110.677692307692,118.920385538462,129.638173538462,128.976986,125.454433692308,123.525689230769,129.868516923077,138.148467692308,146.894330769231,155.543852307692,145.610716923077,151.415047692308,345.839647692308,203.480321538462,153.612467692308,137.533256923077,
DE,"DE LARGE E2 @6,500h — LOSES §19 (below 7,000h): network at full tariff",sens,,70.7476923076923,78.1208855384616,71.7391735384615,61.447986,58.6254336923077,54.9864292307692,56.0592769230769,65.0994676923077,77.9648307692308,83.1043523076923,75.7312169230769,127.670547692308,340.460147692308,183.230821538462,133.362967692308,117.283756923077,"The 7,000h eligibility cliff, charted explicitly (project instructions)."
CN,"CN LARGE @6,500h (demand-charge terms re-scaled; renormalisation identical)",sens,,,663.698097741405,663.698097741405,663.698097741405,654.921321747731,649.948743358578,633.619035247058,624.231621462828,622.087784816865,621.92039713556,585.547339544779,686.176895846154,705.433968531697,680.249761810887,635.872722873101,598.387867627683,2020 COVID rebate not re-scaled (2nd-order).
UK,"UK LARGE E1, day-ahead-indexed (hedging sensitivity; identical to headline pre-2022 by construction of D22 proxy)",sens,57.650727,62.860741075,63.3679265,72.651228575,67.787093325,70.72845845,77.184672775,86.084120375,105.292822975,99.60576435,97.049233,189.16539395,271.25817755,168.93396739921,154.57306969859,161.78956221207,177.34678237786,
DE,"DE LARGE E1, day-ahead-indexed (hedging sensitivity)",sens,,111.29625,104.694424,117.503462,121.970736,121.069626,120.55867,136.40419,148.66366,139.41385,136.64366,200.70014,296.51649,140.02859,139.90436,150.54766,48.43268,2025 DA = time-weighted (15-min basis).
UK,"YA−DA wedge (obs Y→delivery Y+1 vs DA of delivery year), £/MWh — what the hedging convention is worth",sens,,,,,,,,,,,,,-122.36,176.41,51.76,-4.23,-9.2,Crisis years: ±100+; calm years ±5–10. Chart from 2022 deliveries.
,,,,,,,,,,,,,,,,,,,,
,data_lineitems population (house rule 4 full tagging) COMPLETED at stage 6 (2026-07-16) — see data_lineitems + stage6_decomp + carbon tabs.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
UK,"Line-loss uplift, LARGE E1 — applied to wholesale + BSUoS + CfD + CM (all carry TLM); RO, FiT, DUoS and TNUoS are charged on metered volume and are correctly excluded (Ofgem OFG1164 A.4.4/A.4.9; LC14 §4.1; NESO: TNUoS metered volumes are not scaled by TLM)",E1,0.368484,0.3976392,0.373756,0.4212592,0.3556072,0.3434072,0.3638944,0.404102,0.5262416,0.4381796,0.415388,1.1480992,0.801988800000001,2.341951,1.1976416,0.841650000000001,0.878169600000001,
UK,"Line-loss uplift, LARGE E2 — wholesale only (CfD/CM exempt for a qualifying EII); the BSUoS TLM term is immaterial at this factor (<£0.11/MWh) and is omitted",E2,0.35968,0.3856,0.36168,0.4064,0.33944,0.326,0.34104,0.37048,0.46584,0.34992,0.29552,1.01976,0.715920000000001,2.18968,1.0196,0.637600000000001,0.649680000000001,
UK,"Line-loss uplift, MEDIUM E1 — LLF×TLM on wholesale + CfD + CM; TNUoS carries LLF but not TLM (£0.14/MWh, omitted as immaterial)",E1,1.44735232,1.5516544,1.45540032,1.6353536,1.36590656,1.311824,1.3810368,1.54469288,2.0179619584,1.6450321248,1.5122224192,4.3973756928,2.9274567808,8.982336584,4.5006089984,2.96138232,3.1115563904,
UK,"Line-loss uplift, MEDIUM E2 — wholesale only",E2,1.44735232,1.5516544,1.45540032,1.6353536,1.36590656,1.311824,1.37234496,1.49081152,1.87454016,1.40807808,1.18917248,4.10351424,2.88086208,8.81127232,4.1028704,2.5657024,2.61431232,
UK,"UK MEDIUM E1, day-ahead-indexed (hedging sensitivity; mirror of r101 at the medium archetype. Added 2026-07-24 with D70: the medium loss factor is 3.2% vs 0.8% large, so the day-ahead displacement is no longer identical in absolute terms at the two sizes.)",,67.8627277366667,73.2914260166667,73.9960357366667,83.8207007416667,79.3464027016667,82.9348698666667,90.8065717,100.301635921667,123.772083025067,119.996167508133,115.705749602533,210.9401059178,289.574036467467,176.84862370875,165.467645136233,168.88211456425,184.108780262483,
DIAGNOSTIC — Q93 procurement-vintage test. Implied wholesale = observed bill less every NON-wholesale modelled component less the supply block. NOT part of any stack; nothing downstream reads these rows.,,,,,,,,,,,,,,,,,,,,
UK,"UK supply block, nominal GBP/MWh (Ofgem CSS retail opex + EBIT, stage4_uk r56+r58; 2010-11 and 2025-26 imputed at the 2012-24 mean)",,8.98909090909091,8.98909090909091,6.73,7.16,7.27,7.04,6.52,6.18,6.56,6.75,4.02,4.88,15.09,21.24,13.33,8.98909090909091,8.98909090909091,
UK,UK LARGE — IMPLIED wholesale actually paid = QEP XL (excl CCL) less non-wholesale E1 components less supply block,,49.0231820909091,50.6391680159091,59.7600735,60.409771425,61.784906675,59.09254155,55.180327225,49.319879625,47.975177025,53.52623565,62.815767,75.96660605,125.51270245,130.26075260079,132.10185030141,130.201186878839,,
UK,UK MEDIUM — IMPLIED wholesale actually paid (QEP Large band basis),,39.5626425950351,42.3085718794389,50.7731111807022,54.4472778176699,54.8859261760622,52.0171254746714,45.3212505675005,46.1640217565144,38.4336457220917,38.2062784820861,49.6872589654622,53.2342910369585,102.743354971123,166.521819777526,165.242871321815,152.425230350162,,
DE,DE LARGE — IMPLIED wholesale actually paid = Eurostat IF less non-wholesale E1 components less BNetzA supply block (17.7 EUR/MWh),,,22.77375,12.805576,4.326538,-2.11073600000003,-9.58962600000001,-25.62867,-20.31419,-32.29366,-26.64385,-17.42366,3.24986,97.23351,107.75141,62.10564,65.42234,,
UK,UK LARGE — implied MINUS the modelled wholesale (r6). Calm-year 2010-20 mean = the profile/shape/imbalance baseline; excess over it = procurement-vintage effect,,4.06318209090907,2.43916801590909,14.5500735,9.60977142500002,19.354906675,18.34254155,12.550327225,3.00987962500002,-10.254822975,9.78623565000001,25.875767,-51.50339395,36.02270245,-143.44924739921,4.65185030140999,50.5011868788391,,
DE,DE LARGE — implied minus modelled wholesale (r32). CONTROL: this unwinds after 2023 while the UK one does not,,,-27.12625,-43.274424,-44.973462,-41.190736,-44.679626,-56.62867,-46.91419,-64.69366,-70.48385,-65.24366,-36.95014,8.83351,-191.14859,-75.39436,-23.27766,,
DIAGNOSTIC — Q94 gas-SRMC identity test. SRMC = (gas HHV + carbon x 0.18296 tCO2/MWh_th) / 0.50 efficiency (corridor 46-55% lives in the exhibit). Inputs S198/S199; carbon prices from carbon!r13 (UK applicable) and carbon!r5 (EUA VWA). Diagnostic only — nothing downstream reads r119-125.,,,,,,,,,,,,,,,,,,,,
UK,"UK hub gas price, p/therm, calendar avg (S198: Ofgem NBP DA 2014-16; ONS SAP 2018-25; EI SR 2025 derived 2010-13 & 2017, estimated=Y)",,42.2,56.1,59.5,67.8,50,42.5,35,44.9,60.9,35.1,25.1,114.2,208.5,100.8,84,89.1,,
UK,"UK hub gas, GBP/MWh thermal HHV = r120 x 0.341214",,14.3992308,19.1421054,20.302233,23.1343092,17.0607,14.501595,11.94249,15.3205086,20.7799326,11.9766114,8.5644714,38.9666388,71.143119,34.3943712,28.661976,30.4021674,,
DE,"DE hub gas price, EUR/MWh (S198: BNetzA THE EGSI 2022/2024; EC QREGM TTF DA 2023/2025; ACER 2021; EI SR derived 2010-20, estimated=Y)",,17.2,22.5,24.9,27,20.8,19.8,14,17.2,22.8,13.6,9.4,47.2,125,41,34.6,36,,
UK,"UK gas-SRMC @50% HHV, GBP/MWh = (r121 + carbon!r13 x 0.18296)/0.5. Starts 2013 with the UK applicable-carbon series. Compare stage4_uk r7 (day-ahead power)",,,,,49.4215427449175,39.3574590293618,37.637990312379,32.0437061691184,39.0882846581846,52.9678531679713,38.4509697609023,31.718220833206,103.333541216,176.469862336,94.907489936,77.515454192,84.720866,,
DE,"DE gas-SRMC @50% HHV, EUR/MWh = (r122 + carbon!r5 x 0.18296)/0.5. Starts 2012 with the EUA VWA series. Compare stage4_de r8 (day-ahead power)",,,,52.3833952,55.5844336,43.758928,42.380992,29.9247392,36.522336,51.052208,36.2235872,27.7979728,113.5998224,279.419968,112.6201856,92.9884592,99.07808,,
,,,,,,,,,,,,,,,,,,,,
"DIAGNOSTIC — Q97 measured EII exempt share. Ofgem RO annual reports (GB, scheme year Apr–Mar mapped to first calendar year col); LCCC CfD settlement corroboration; DUKES 5.1.2 denominator. Shares 2024-25: excluded/GB supply 4.74% (Ofgem-printed); certificated/DUKES-industrial 15.0%; excluded/DUKES-industrial 14.5%. NOT part of any stack; nothing downstream reads r126-131. S205",,,,,,,,,,,,,,,,,,,,
UK,"RO: supply to EII certificate holders, GB (Figure 5.5/4.1 by edition)",,,,,,,,,,11.550449,11.2384365,11.297466,12.659704,11.695259,11.787859,12.328678,,TWh,OBS
UK,"RO: EII excluded electricity (the exemption actually applied; 85% era to Mar-2024, 100% from Apr-2024)",,,,,,,,,,9.248107,8.9660439,8.811688,10.434863,9.674892,9.721225,11.983131,,TWh,OBS
UK,RO: total GB licensed supply incl EII supply (the base that funds the exemption),,,,,,,,,,278.886293,274.922262,258.773991,267.243112,254.95103,251.040593,252.580657,,TWh,OBS (2018-19/2019-20 derived: obligated + excluded)
UK,"LCCC CfD: actual EII excluded electricity, FY Apr-Mar (settlement basis — runs below RO declaration basis)",,,,,,,,,2.773,8.957,9.031,9.028,10.307,8.632,8.456,10.611,12.457,TWh,OBS (own aggregation of daily CSV)
UK,"DUKES 5.1.2: UK industrial electricity consumption, calendar year (incl on-site autogeneration)",,,,,,,,,,92.1229,92.5737,85.9436,88.3322,85.8853,84.7332,82.3658,,TWh,OBS
"DIAGNOSTIC — CCL ACTUALLY PAID BY BAND (D71/Q98). QEP 3.4.2 − 3.4.1 = the levy the band really bore, net of CCA discounts and the min/met exemption. Wired only into r114/r115.",,,,,,,,,,,,,,,,,,,,
UK,"CCL actually paid, QEP Extra Large band — £/MWh nominal",diagnostic,0.91086226433216,1.09804222060831,1.40841982118383,1.20267500582621,1.34903092126477,1.87392827103503,2.85885045613776,2.54543237468253,3.016103707784,6.24738430819789,6.5340233556385,7.0494106766485,6.7780355933343,3.99626175800098,4.48481945328219,4.52312513629508,,
UK,…as % of the statutory main rate (r14). Direct evidence that relief is measurable,diagnostic,0.1938004817728,0.226400457857383,0.276703304751244,0.229518130882864,0.249358765483321,0.338254200547839,0.511422264067578,0.448139502584953,0.517341973890909,0.737589646776611,0.805674889721147,0.909601377632064,0.874585237849587,0.515646678451739,0.578686381068669,0.583629049844526,,
UK,"CCL actually paid, QEP Large band — £/MWh nominal",diagnostic,2.01552946978135,2.37634474234941,2.64627654352946,2.02929994792331,1.91627688136519,2.09289476539475,3.86073848868122,3.7576283402203,3.81049514906881,5.89843143690969,6.70514836355231,6.99241252135019,9.1008686769489,5.4557219734988,5.47564479346722,5.52749065642193,,
